taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
1			Kingdom	Plantae		1		
100	1		Phylum	Charophyta		1		
1000	100		Class	Charophyceae		1		
10003	1000		Order	Charales		1		
10004	10003		Family	Aclistocharaceae				
10005	10003		Family	Characeae		1		
10006	10003		Family	Clavatoraceae				
10007	10003		Family	Porocharaceae				
10008	1000		Order	Coleochaetales				
10009	10008		Family	Coleochaetaceae				
1001	100		Class	Klebsormidiophyceae		1		
10010	1001		Order	Klebsormidiales		1		
10011	10010		Family	Elakatotrichaceae				
10012	10010		Family	Klebsormidiaceae		1		
10013	10010		Family	Stichococcaceae		1		
1002	100		Class	Mesostigmatophyceae				
10014	1002		Order	Chaetosphaeridiales				
10015	10014		Family	Chaetosphaeridiaceae				
10016	1002		Order	Mesostigmatales				
10017	10016		Family	Mesostigmataceae				
1003	100		Class	Zygnematophyceae				
10018	1003		Order	Zygnematales				
10019		10018	Order	Conjugales				
10020	10018		Family	Closteriaceae				
10021	10018		Family	Desmidiaceae				
10022	10018		Family	Mesotaeniaceae				
10023	10018		Family	Peniaceae				
10024	10018		Family	Zygnemataceae				
101	1		Phylum	Chlorophyta		1		
1004	101		Class	Chlorophyceae		1		
10025	1004		Order	Acrosiphoniales		1		
10026	1004		Order	Caulerpales		1		
10027	1004		Order	Chaetopeltidales		1		
10028	10027		Family	Chaetopeltidaceae		1		
10029	1004		Order	Chaetophorales		1		
10030	10029		Family	Aphanochaetaceae				
10031	10029		Family	Chaetophoraceae		1		
10032	10029		Family	Schizomeridaceae				
10033	1004		Order	Chlamydomonadales				
10034		10033	Order	Chlorococcales		1		
10035	10033		Family	Actinochloridaceae				
10036	10033		Family	Characiosiphonaceae				
10037	10033		Family	Chlorochytriaceae				
10038	10033		Family	Chlorococcaceae		1		
10039	10033		Family	Chlorosarcinaceae				
10040	10033		Family	Coccomyxaceae				
10041	10033		Family	Cylindrocapsaceae				
10042	10033		Family	Dictyosphaeriaceae				
10043	10033		Family	Endosphaeraceae		1		
10044	10033		Family	Golenkiniaceae				
10045	10033		Family	Hormotilaceae				
10046	10033		Family	Hypnomonadaceae				
