taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
5			Kingdom	Protozoa	None	1	None	None
493841		5	Subkingdom	Biciliata	None	None	None	None
146192		5	Phylum	Chrysomonada	None	1	None	None
146231		146192	Class	Pedinellophyceae	None	1	None	None
146202		5	Phylum	Dinomastigota	None	1	None	None
21005		5	Phylum	Dinophyta	None	1	None	None
146221		5	Phylum	Discomitochondria	None	1	None	None
146228		146221	Class	Euglenida	None	1	None	None
163718		146228	Suborder	Sphenomonadina	None	1	None	None
26		146221	Class	Kinetoplastida	None	1	None	None
146229		146221	Class	Pseudociliata	None	1	None	None
582159		5	Subkingdom	Eozoa	None	None	None	None
582161		582159	Infrakingdom	Euglenozoa	None	None	None	None
536202		582161	Phylum	Euglenozoa	None	None	None	None
536193		536202	Class	Bodonophyceae	None	None	None	None
536194		536193	Order	Bodonales	None	None	None	None
536195		536193	Order	Karotomorphales	None	None	None	None
582176		536202	Class	Diplonemea	None	None	None	None
582207		582176	Order	Diplonemida	None	None	None	None
582177		536202	Class	Euglenoidea	None	None	None	None
582199		582177	Subclass	Aphagia	None	None	None	None
582208		582199	Order	Rhabdomonadida	None	None	None	None
582200		582177	Subclass	Euglenia	None	None	None	None
582209		582200	Order	Euglenida	None	None	None	None
582210		582200	Order	Eutreptiida	None	None	None	None
593330		582177	Subclass	Euglenoidea incertae sedis	None	None	None	None
582201		582177	Subclass	Peranemia	None	None	None	None
582211		582201	Order	Peranemida	None	None	None	None
582212		582201	Order	Ploeotiida	None	None	None	None
582202		582177	Subclass	Petalomonadia	None	None	None	None
582213		582202	Order	Petalomonadida	None	None	None	None
19539		536202	Class	Euglenophyceae	None	1	None	None
21000		19539	Order	Euglenales	None	1	None	None
17654		19539	Order	Eutreptiales	None	1	None	None
562565		536202	Class	Kinetoplastea	None	None	None	None
593328		562565	Subclass	Kinetoplastea incertae sedis	None	None	None	None
562566		562565	Subclass	Metakinetoplastina	None	None	None	None
562574		562566	Order	Bodonida	None	None	None	None
582215		562566	Order	Eubodonida	None	None	None	None
582216		562566	Order	Neobodonida	None	None	None	None
582217		562566	Order	Parabodonida	None	None	None	None
562567		562566	Order	Trypanosomatida	None	None	None	None
562568		562567	Suborder	Trypanosomatina	None	None	None	None
582203		562565	Subclass	Prokinetoplastina	None	None	None	None
582214		582203	Order	Prokinetoplastida	None	None	None	None
582178		536202	Class	Postgaardea	None	None	None	None
582218		582178	Order	Postgaardida	None	None	None	None
536210		582159	Infrakingdom	Excavata	None	None	None	None
582163		536210	Phylum	Loukozoa	None	None	None	None
582179		582163	Class	Jakobea	None	None	None	None
582219		582179	Order	Jakobida	None	None	None	None
582180		582163	Class	Malawimonadea	None	None	None	None
582220		582180	Order	Malawimonadida	None	None	None	None
562592		536210	Phylum	Metamonada	None	None	None	None
582164		562592	Subphylum	Anaeromonada	None	None	None	None
582181		582164	Class	Anaeromonadea	None	None	None	None
582221		582181	Order	Oxymonadida	None	None	None	None
